Tablet,Period,TransactionType,Commodity,Quantity,Price,SupplierSellerCreditor,ReceiverPayer
183,3,redistribution,iron,90 pondii,,,"...tor, centurion"
183,3,redistribution,unknown,,32,author 183,Ascanius
183,3,redistribution,unknown,,,author 183,Candidus
183,3,redistribution,unknown,,,author 183,transporter
184,5,payment,overcoats,,13,author 184,Tagarminis
184,5,payment,pepper,,2,author 184,"Gambax, son of Tappo"
184,5,debt,towel,1,2,author 184,Sollemnis
184,5,payment,flask,1,,author 184,"Furio, son of Stipo"
184,5,payment,towel,1,2,author 184,Ammius
184,5,debt,buskin,,3.5,author 184,Messor
184,5,payment,sagacia,1,5.375,author 184,"Lucius, the shield-maker"
184,5,debt,tallow,,,author 184,Uxperus
184,5,debt,unknown,,,author 184,Agilis?
184,5,debt,tallow,,,author 184,Huep...
184,5,debt,towel,1,2,author 184,"Tullio, son of Carpentarius"
184,5,debt,thongs,,2.5,author 184,Butimas
184,5,payment,tallow,,2,author 184,Butimas
184,5,debt,towel,1,1,author 184,Butimas
184,5,debt,tallow,,2.125,author 184,Caledus
184,5,debt,towel,,,author 184,Caledus
184,5,debt,tallow,,2.5,author 184,Caledus
185,2,payment,lees of wine,,0.5,unknown,author 185
185,2,payment,lees of wine,,0.25,unknown,author 185
185,2,payment,lees of wine,,0.25,unknown,author 185
185,2,payment,lees of wine,,0.125,unknown,author 185
185,2,payment,barley,1 modius,0.5,unknown,author 185
185,2,payment,wagon axles,2,3.5,unknown,author 185
185,2,payment,salt and fodder,,1,unknown,author 185
185,2,payment,lees of wine,,0.25,unknown,author 185
185,2,payment,accomodation,,0.5,unknown,author 185
185,2,payment,lees of wine,,0.25,unknown,author 185
185,2,payment,vests,,0.25,unknown,author 185
185,2,payment,wheat,1 modius,,unknown,author 185
186,4,payment,unknown,30 modii,,Gracilis,author 186
186,4,payment,unknown,100 pondii,,Gracilis,author 186
186,4,payment,unknown,22 pondii,,Gracilis,author 186
186,4,payment,nails,100,0.125,author 186,Gracilis
186,4,payment,salt,85 pondii,0.75,Audax,author 186
186,4,payment,Celtic beer,6.25 modii,0.5,unknown,author 186
186,4,payment,goat-meat,,0.0625,Audax,author 186
186,4,payment,unknown,,,Gracilis,author 186
186,4,payment,pork,,,Gracilis,author 186
186,4,payment,pork,11 pondii,,Audax,author 186
186,4,payment,Celtic beer,6.25 modii,,Similis,author 186
186,4,payment,unknown,,,Audax,author 186
187,3,account,unknown,,0.25,author 187,"Crispa, daughter/wife of Pollio"
187,3,account,unknown,,0.5625,author 187,Ingenuus
190,3,reciprocity,unknown,3 modii,0.5,author 190,unknown
190,3,reciprocity,unknown,,0.5,author 190,unknown
190,3,reciprocity,unknown,,,author 190,festival
190,3,reciprocity,unknown,,,author 190,festival
190,3,reciprocity,unknown,,,author 190,festival
190,3,reciprocity,barley,,,author 190,unknown
190,3,reciprocity,Celtic beer,,,author 190,unknown
190,3,reciprocity,barley,4 modii,,author 190,unknown
190,3,reciprocity,Celtic beer,2 modii,,author 190,unknown
190,3,reciprocity,unknown,,,author 190,The granary
190,3,reciprocity,unknown,2 modii,,author 190,unknown
190,3,reciprocity,barley,5.5 modii,,author 190,unknown
190,3,reciprocity,"wine, Massic",,,author 190,Allatus
190,3,reciprocity,barley,5.5 modii,,author 190,unknown
190,3,reciprocity,wine,1.88 modii,,author 190,unknown
190,3,reciprocity,Celtic beer,3 modii,,author 190,unknown
190,3,reciprocity,barley,6 modii,,author 190,unknown
190,3,reciprocity,Celtic beer,3 modii,,author 190,unknown
190,3,reciprocity,wine,1.75 modii,,author 190,unknown
190,3,reciprocity,sour wine,0.13 modius,,Privatus,unknown
190,3,reciprocity,fish-sauce,0.1 modius,,Privatus,unknown
190,3,reciprocity,pork-fat,0.63 modius,,Privatus,the lord for charitable donations
190,3,reciprocity,wine,1 modius,,author 190,festival
190,3,reciprocity,wine,0.75 modius,,Privatus,unknown
190,3,reciprocity,barley,0.72 modius,,author 190,unknown
191,3,"account, domestic",spices,,,unknown,unknown
191,3,"account, domestic",roe-deer,,,unknown,unknown
191,3,"account, domestic",salt,,,unknown,unknown
191,3,"account, domestic","pig, young",,,unknown,unknown
191,3,"account, domestic",ham,,,unknown,unknown
191,3,"account, domestic",wheat,,,unknown,unknown
191,3,"account, domestic",venison,,,unknown,unknown
191,3,"account, domestic",pickling,,,unknown,unknown
191,3,"account, domestic",roe-deer,,,unknown,unknown
191,3,"account, domestic",emmer,,,unknown,unknown
192,3,payment,coverlet,1,,Gavo,author 192
192,3,payment,beans,55 modii,,Gavo,author 192
192,3,payment,wool,38 pondii,27.3125,Gavo,author 192
192,3,payment,unknown,,12.5625,Gavo,author 192
192,3,payment,bedspread,3,,Gavo,author 192
192,3,payment,honey,,,Gavo,author 192
192,3,payment,sagum,,,Gavo,author 192
193,3,reciprocity,spices,0.03 modius,0.5,unknown,"Felicio, the centurion"
193,3,reciprocity,gruel,0.03 modius,0.4375,unknown,"Felicio, the centurion"
193,3,reciprocity,eggs,8,0.25,unknown,"Felicio, the centurion"
194,3,"account, domestic",shallow dishes,2,,unknown,unknown
194,3,"account, domestic",side-plates,5,,unknown,unknown
194,3,"account, domestic",vinegar-bowls,,,unknown,unknown
194,3,"account, domestic",egg-cups,3,,unknown,unknown
194,3,"account, domestic",platter,1,,unknown,unknown
194,3,"account, domestic",shallow dishes,1,,unknown,unknown
194,3,"account, domestic",strong-box?,,,unknown,unknown
194,3,"account, domestic",bronze lamp,,,unknown,unknown
194,3,"account, domestic",bread-baskets,4,,unknown,unknown
194,3,"account, domestic",cups,2,,unknown,unknown
194,3,"account, domestic",bowls,2,,unknown,unknown
195,3,"account, domestic",tunic,1,,unknown,unknown
195,3,"account, domestic",abolla,1,,unknown,unknown
195,3,"account, domestic",abolla,1,,unknown,unknown
195,3,"account, domestic",knife,1,,unknown,unknown
196,3,"account, domestic","blankets, pairs",,,unknown,unknown
196,3,"account, domestic","paenulae, white",,,unknown,unknown
196,3,"account, domestic",paenulae,,,unknown,unknown
196,3,"account, domestic",laena,,,unknown,unknown
196,3,"account, domestic",loose robe,,,unknown,unknown
196,3,"account, domestic","paenula, under-",,,unknown,unknown
196,3,"account, domestic",vests,,,Tranquilius,unknown
196,3,"account, domestic","paenula, under-",,,Tranquilius,unknown
196,3,"account, domestic","tunics, half-belted",,,unknown,unknown
196,3,"account, domestic","tunics, for dining",,,unknown,unknown
196,3,"account, domestic",branches,,,unknown,unknown
196,3,"account, domestic",vase,,,unknown,unknown
196,3,"account, domestic",rings,,,unknown,unknown
197,3,account,shoes,,,unknown,unknown
197,3,account,gallic shoes,,,unknown,unknown
201,2,account,flask,,,author 201,unknown
202,2,account,fish-sauce,,,author 202,unknown
203,4,"account, domestic",pork-cutlet,,,author 203,unknown
203,4,"account, domestic",bread-baskets,,,author 203,unknown
203,4,"account, domestic",wine,.06 modius,,author 203,unknown
203,4,"account, domestic",oil,,,author 203,unknown
204,3,account,beans,,,author 204,unknown
204,3,account,lentils,,,author 204,unknown
204,3,account,lovage,,,author 204,unknown
204,3,account,meal,10.5 modii,,author 204,unknown
205,4,account,unknown,,,author 205,unknown
206,3,payment,unknown,,,author 206,unknown
206,3,debt,unknown,,,author 206,unknown
207,3,account,saga,3,,Gavo,unknown
207,3,account,sagacia,7,,Gavo,unknown
207,3,account,unknown,5,,Gavo,unknown
207,3,account,unknown,15,,Gavo,unknown
207,3,account,capes,,,Gavo,unknown
207,3,account,tunic,1,,Gavo,unknown
207,3,account,palliola,7,,Gavo,unknown
207,3,account,tunic,5,,Marcus,unknown
207,3,account,palliola,10,,Marcus,unknown
207,3,account,tunic,2,,Marcus,unknown
208,3,account,small dish,,,Praetorium slave,unknown
208,3,account,alliatum (garlic paste),,,Praetorium slave,unknown
208,3,account,conditum (pickling),,,Praetorium slave,unknown
213,2,payment,barley,,,Cassius Saecularis,Natives
215,4,redistribution,wood,,,Severinus,cornicularius
215,4,redistribution,timber,,,Severinus,cornicularius
233,3,account,gruel,,,Praetorium slave,unknown
233,3,account,pork-crackling,,,Praetorium slave,unknown
233,3,account,trotters,,,Praetorium slave,unknown
233,3,reciprocity,hunting-nets,,,Brocchus,Flavius Cerialis
234,3,redistribution,goods,,,Flavius Cerialis,Caecilius September
242,3,redistribution,pay,,,Flavius Cerialis,"Felicio, the centurion"
255,3,reciprocity,sagacia,6,,Flavius Cerialis,"Clodius Super, centurion"
255,3,reciprocity,saga,,,Flavius Cerialis,"Clodius Super, centurion"
255,3,reciprocity,palliola,7,,Flavius Cerialis,"Clodius Super, centurion"
255,3,reciprocity,tunics,6,,Flavius Cerialis,"Clodius Super, centurion"
258,3,redistribution,bridge,,,Centurion,Flavius Cerialis
265,3,reciprocity,sacrifice,,,unknown,the day of the kalends
299,5,reciprocity,oysters,50,,unknown,unknown
301,2,payment,unknown,,0.3125,unknown,"Candidus, slave of Genialis the prefect"
301,2,payment,radishes,,0.5,unknown,"Candidus, slave of Genialis the prefect"
302,1,payment,"beans, bruised",2 modii,,unknown,Slave of Verecundus
302,1,payment,chickens,20,,unknown,Slave of Verecundus
302,1,payment,apples,100,,unknown,Slave of Verecundus
302,1,payment,eggs,150,,unknown,Slave of Verecundus
302,1,payment,fish-sauce,0.5 modius,,unknown,Slave of Verecundus
302,1,payment,olives,1 modius,,unknown,Slave of Verecundus
309,3,redistribution,hubs,34,,Metto,Advectus
309,3,redistribution,axles for carts,38,,Metto,Advectus
309,3,redistribution,axle turned on lathe,1,,Metto,Advectus
309,3,redistribution,spokes,300,,Metto,Advectus
309,3,redistribution,planks for a bed,26,,Metto,Advectus
309,3,redistribution,seats,8,,Metto,Advectus
309,3,redistribution,knots,2,,Metto,Advectus
309,3,redistribution,boards,20,,Metto,Advectus
309,3,redistribution,unknown,29,,Metto,Advectus
309,3,redistribution,benches,6,,Metto,Advectus
309,3,redistribution,goat-skins,6,,Metto,Advectus
310,3,payment,pair of shears,1,,"Virilis, the veterinary doctor",Chrauttius
314,3,redistribution,lime,,,unknown,Unknown
315,3,redistribution,wagons,,,unknown,Unknown
316,3,redistribution,wagons,,,unknown,Unknown
327,3,unknown,aes minutum,,,unknown,Unknown
343,4,unknown,sinew,100 pondii,,Marius,Octavius
343,4,payment,grain (spica),5000 modii,800 denarii,unknown,Octavius
343,4,reciprocity,hides,,,Candidus,Octavius
343,4,debt,denarii,,8.5 denarii,Octavius,Tertius
343,4,account,hides,170,,Octavius,Unknown
343,4,account,emmer (bracis),119 modii,,Octavius,Unknown
346,4,reciprocity,"socks, pairs from Satua",,,author 346/655,Unknown
346,4,reciprocity,"sandals, pairs",2,,author 346/655,Unknown
346,4,reciprocity,"underpants, pairs",2,,author 346/655,Unknown
346,4,reciprocity,"sandals, pairs",2,,author 346/655,Unknown
348,4,payment,emmer (bracis),,,author 346/655,Unknown
581,3,"account, domestic",Celtic beer,,,Author 581,Decurions
581,3,"account, domestic",unknown,,,Author 581,the brewer
581,3,"account, domestic",chickens,,,Author 581,Unknown
581,3,"account, domestic",unknown,,,Author 581,Crescens
581,3,"account, domestic",goose,1,,Author 581,Unknown
581,3,"account, domestic",unknown,,,Author 581,Suetius
581,3,"account, domestic",unknown,,,Author 581,the brewer
581,3,"account, domestic",unknown,,,Author 581,Vatto
581,3,"account, domestic",chickens,,,Author 581,Veterans
581,3,"account, domestic",unknown,,,Author 581,Sautenus
581,3,"account, domestic",unknown,,,Author 581,Chnisso
581,3,"account, domestic",chickens,,,Author 581,Unknown
581,3,"account, domestic",unknown,,,Author 581,Ma...
581,3,"account, domestic",unknown,,,Author 581,Candidus
581,3,"account, domestic",unknown,,,Author 581,Mar...
581,3,"account, domestic",unknown,,,Author 581,Exsomnius
581,3,"account, domestic",geese,,,Author 581,V...in charge of draft-animals of Brocchus
581,3,"account, domestic",geese,,,Author 581,Unknown
581,3,"account, domestic","chickens, nurselings",,,Author 581,Unknown
581,3,"account, domestic",nurselings,,,Author 581,Unknown
581,3,"account, domestic",chickens,,,Author 581,Unknown
581,3,"account, domestic",chickens,,,Comm...,Unknown
581,3,"account, domestic",chickens,,,Author 581,Unknown
581,3,reciprocity,chicken,,,Author 581,Unknown
581,3,reciprocity,chicken,,,Author 581,Unknown
581,3,reciprocity,chicken,,,Author 581,Unknown
581,3,reciprocity,unknown,,,Author 581,Legate
581,3,reciprocity,unknown,,,Author 581,Unknown
581,3,reciprocity,unknown,,,Author 581,Flavius' discharge
581,3,reciprocity,unknown,,,Author 581,Niger and Broccus
581,3,reciprocity,unknown,,,Author 581,Brocchus' dinner
581,3,reciprocity,unknown,,,Author 581,Brocchus
581,3,reciprocity,unknown,,,Author 581,The lords at Matronalia
581,3,reciprocity,unknown,,,Author 581,Niger and Lae...
581,3,reciprocity,unknown,,,Author 581,Brocchus
581,3,reciprocity,unknown,,,Author 581,September
581,3,reciprocity,unknown,,,Author 581,Sautenus
581,3,reciprocity,unknown,,,Author 581,Unknown
581,3,reciprocity,geese,,,Author 581,Unknown
581,3,reciprocity,unknown,,,Author 581,"Onesimus, with the standards"
581,3,reciprocity,unknown,,,Author 581,Sautenus
581,3,reciprocity,unknown,,,Author 581,as lunch for...
581,3,reciprocity,unknown,,,Author 581,Flavinus
581,3,reciprocity,unknown,,,Author 581,Sautenus
581,3,reciprocity,unknown,,,Author 581,lunch with the governor
581,3,reciprocity,unknown,,,Author 581,Myr.... outside the camp
581,3,reciprocity,chickens,4,,Author 581,unknown
581,3,reciprocity,unknown,12,,Surenus the centurion,unknown
581,3,reciprocity,chickens,,,Author 581,unknown
581,3,reciprocity,chickens,,,Author 581,sautenus
581,3,reciprocity,chickens,20,,Author 581,unknown
581,3,reciprocity,"chickens, Tanagrian",,,Author 581,unknown
581,3,reciprocity,"chickens, sterile",,,Author 581,unknown
581,3,reciprocity,chickens,,,Author 581,unknown
582,3,account,chickens,,10 denarii,Chnisso,unknown
582,3,reciprocity,chickens,10,,Chnisso,Prefect
582,3,account,unknown,,"5.5 denarii, 1 as",unknown,unknown
582,3,account,chickens,8,,Author 582,unknown
582,3,"account, domestic",chickens,21,"9.5 denarii, 1 as",Author 582,unknown
583,3,redistribution,wagons,,,unknown,unknown
584,3,redistribution,wagons,,,unknown,unknown
585,3,redistribution,wagons,,,unknown,unknown
586,3,reciprocity,siliginis (soft wheat),2 modii,,Author 586,unknown
586,3,reciprocity,halicae (gruel),1 modius,,Author 586,unknown
586,3,reciprocity,halicae (gruel),1 modius,,Author 586,"Atticus, cornicularis"
586,3,reciprocity,siliginis (soft wheat),1 modius,,Author 586,"Atticus, cornicularis"
586,3,reciprocity,halicae (gruel),5 modii,,Author 586,"Vitalis, pharmacist"
586,3,reciprocity,siliginis (soft wheat),1 modius,,Author 586,"Vitalis, pharmacist"
586,3,reciprocity,siliginis (soft wheat),1 modius,,Author 586,"Decimus, cornicularis"
586,3,reciprocity,unknown,1 modius,,Author 586,Unknown
586,3,reciprocity,siliginis (soft wheat),50 modii,,unknown,Unknown
586,3,reciprocity,siliginis (soft wheat),,,"Masclus, the decurion",Author 586
586,3,reciprocity,siliginis (soft wheat),,,Vitalis,Author 586
586,3,reciprocity,siliginis (soft wheat),1 modius,,"Masclus, the decurion",Author 586
587,3,account,pork,1,,Varius,Unknown
587,3,account,pork,,,Analeugus,Unknown
588,3,payment,cooking bowls,,,Adiutor,Unknown
588,3,payment,mustard-seed,,,Adiutor,Unknown
588,3,payment,anise,0.06 modius,0.25 denarius,Adiutor,Unknown
588,3,payment,caraway,0.03 modius,0.125 denarius,Adiutor,Unknown
588,3,payment,thyme,0.06 modius,0.125 denarius,Adiutor,Unknown
588,3,payment,unknown,,,Adiutor,Unknown
589,4,account,oil,,,unknown,Amabilis
589,4,account,oil,,,unknown,Unknown
589,4,account,flask,,,unknown,Amabilis
591,3,account,anise,,,Unknown,Unknown
591,3,account,nuts,,,Unknown,Unknown
591,3,account,berries,,,Unknown,Unknown
591,3,account,siliginis (soft wheat),,,Unknown,Unknown
591,3,account,beans,,,Unknown,Unknown
591,3,account,alum,,,Unknown,Unknown
591,3,account,wax,,,Unknown,Unknown
591,3,account,bitumen,,,Unknown,Unknown
591,3,account,"glue, bull's",,,Unknown,Unknown
591,3,account,pitch,,,Unknown,Unknown
591,3,account,blacking,,,Unknown,Unknown
591,3,account,anchusa,,,Unknown,Unknown
591,3,account,mustard-seed,,,Unknown,Unknown
591,3,account,verdigris,,,Unknown,Unknown
591,3,account,"linen, soaked in honey",,,Unknown,Unknown
591,3,account,resin,,,Unknown,Unknown
591,3,account,cummin,,,Unknown,Unknown
591,3,account,oak-gall,,,Unknown,Unknown
592,3,account,honey,,,Unknown,Unknown
592,3,account,beet,,,Unknown,Unknown
592,3,account,ointment,,,Unknown,Unknown
592,3,account,eggs,,,Unknown,Unknown
592,3,account,"sandals, pairs",,,Unknown,Unknown
592,3,account,cooking-pot,,,Unknown,Unknown
592,3,account,beef,,,Unknown,Unknown
592,3,account,pasta,,,Unknown,Unknown
593,3,account,"net, for thrushes",1,,Unknown,Unknown
593,3,account,"net, for ducks",1,,Unknown,Unknown
593,3,account,"dragnet, for fish",1,,Unknown,Unknown
593,3,account,"snares, for swans",3,,Unknown,Unknown
593,3,account,snares,7,,Unknown,Veteranus
594,3,account,segosi (hunting-dogs),,,Unknown,Veteranus
594,3,account,vertragi (hunting-dogs),,,Unknown,Veteranus
596,3,"account, domestic",necklace-locks,2,7.25 denarii,author 596,Unknown
596,3,"account, domestic",cloacks,6,69 denarii,author 596,Unknown
596,3,"account, domestic",headbands,5,3.75 denarii,author 596,Unknown
596,3,"account, domestic",hair,9 pondii,51.75 denarii,author 596,Unknown
596,3,"account, domestic",drawers,10,25 denarii,author 596,Unknown
596,3,"account, domestic",saddle,1,12 denarii,author 596,Unknown
596,3,"account, domestic","cloaks, of bark",15,236 denarii,author 596,Unknown
596,3,"account, domestic",bags,10,6.875 denarii,author 596,Unknown
596,3,"account, domestic",bowls,4,20.25 denarii,author 596,Unknown
596,3,"account, domestic",bowls,4,15.75 denarii,author 596,Unknown
596,3,"account, domestic",bowls,4,10.75 denarii,author 596,Unknown
596,3,"account, domestic",reins,2,7 denarii,author 596,Unknown
596,3,"account, domestic","curtain, scarlet",1,54.63 denarii,author 596,Unknown
596,3,"account, domestic","curtain, greenish-yellow",1,46.75 denarii,author 596,Unknown
596,3,"account, domestic","curtain, purple",2,99.63 denarii,author 596,Unknown
596,3,"account, domestic",curtain,1,55.13 denarii,author 596,Unknown
597,3,redistribution,"bolt, for bread-box",1,,author 597,Unknown
597,3,redistribution,"pots, repaired",2,,author 597,Unknown
597,3,redistribution,dog-collars,,,author 597,Unknown
597,3,redistribution,"bolt, for bread-box",1,,author 597,Unknown
597,3,redistribution,yoke of a suspended carriage,,,author 597,Unknown
598,3,account,yoke of a suspended carriage,,,author 598,Unknown
599,3,redistribution,bronze,5 pondii,,author 599,Taurinus
599,3,redistribution,lanterns,,,author 599,M...
599,3,redistribution,nails for a suspended chariot,,,author 599,Unknown
600,5,redistribution,seats,,,author 600,Unknown
600,5,redistribution,felloes,4,,author 600,Unknown
600,5,redistribution,timbers for covering,,,author 600,Unknown
600,5,redistribution,curved ribs,4,,author 600,Unknown
600,5,redistribution,board for body of carriage,,,author 600,Unknown
601,3,account,unknown,,,unknown,Florus
601,3,account,unknown,,,unknown,Modestinus
601,3,account,nails,,,unknown,Florus
601,3,account,unknown,,,unknown,Florus
601,3,account,unknown,,,Florus,Unknown
601,3,account,pork-fat,,,unknown,Unknown
601,3,account,unknown,,,unknown,Florus
601,3,account,nails,,,unknown,Florus
601,3,account,unknown,,,unknown,Vitalis
602,3,account,gallic shoes,,,unknown,Unknown
602,3,account,gallic shoes,,,unknown,Unknown
603,3,redistribution,nails,,,author 603,Unknown
603,3,redistribution,nails,,,author 603,sandals of Renatus
603,3,redistribution,nails,20,,author 603,shoes of Taurus
603,3,redistribution,nails,,,author 603,boots of Florenti...
603,3,redistribution,nails,26,,author 603,Unknown
603,3,redistribution,nails,,,author 603,Unknown
603,3,redistribution,nails,,,author 603,Arcanus in respect of the shoes (?)
603,3,redistribution,nails,,,author 603,Unknown
604,3,payment,nails,350,,Taurinus,author 604
604,3,redistribution,nails,25,,author 604/607,sandals of Tetricus
604,3,redistribution,nails,20,,author 604/607,shoes of ...a
604,3,redistribution,nails,30,,author 604/607,boots of Prudentius
605,3,redistribution,nails,12,,author 605,shoes of Lucanus
605,3,redistribution,nails,9,,author 605,shoes of Taurinus
605,3,redistribution,nails,11,,author 605,shoes of Aventinus
605,3,redistribution,nails,11,,author 605,Unknown
607,3,payment,yarn,,"0.25 denarius, 1 as",Taurinus,author 604/607
607,3,redistribution,yarn,,,author 604/607,cloak of Aventinus
607,3,redistribution,money-belt,,,author 604/607,money-belt of Lucanus
607,3,redistribution,shirt,,,author 604/607,shirt of Crescens
609,2,debt,unknown,,2.5 denarii,Veruinius,Unknown
609,2,debt,unknown,,2.5 denarii,Veruinius,Unknown
609,2,debt,unknown,,0.5 denarius,Veruinius,Unknown
609,2,debt,unknown,,1 denarius,Veruinius,Unknown
609,2,debt,unknown,,2 denarii,Veruinius,Unknown
609,2,debt,unknown,,,Veruinius,.s.o
609,2,debt,unknown,,,Veruinius,...aria...
609,2,debt,unknown,,,Veruinius,Frissi.
609,2,debt,unknown,,,Veruinius,Suasso
609,2,debt,unknown,,,Veruinius,Germanus
609,2,debt,unknown,,,Veruinius,Ca.ussa
609,2,debt,unknown,,,Veruinius,Marcellinus
609,2,debt,unknown,,,Veruinius,Modius
609,2,debt,unknown,,,Veruinius,Senecio
609,2,debt,unknown,,,Veruinius,Sactius
609,2,debt,unknown,,,Veruinius,Viator
609,2,debt,unknown,,,Veruinius,Crescens
609,2,debt,unknown,,,Veruinius,Crenscens
609,2,debt,unknown,,,Veruinius,Leubius
609,2,debt,unknown,,,Veruinius,Varienus
615,3,payment,vectura,,,Huntsmen,Unknown
616,3,account,chickens,2,,Unknown,Unknown
628,3,redistribution,Celtic beer,,,"Flavius Cerialis, prefect",Masclus
641,3,reciprocity,bronze lamp,1,,Arcanus,Marinus
642,4,reciprocity,shingles,100,,Bellicus,Gabinius
643,3,reciprocity,axe,1,,Titus,Florus
643,3,reciprocity,small box,1,,Calavirus,Beneficiarius
645,3,payment,emmer (bracis),,,Maior,Cocceiius Maritimus
646,2,payment,Unknown,,,"Optatus, the maltster",Montanus
647,4,debt,forfeited property,,,Unknown,Unknown
649,2,redistribution,emmer (bracis),381 modii,,Rac...romaucus,...nus
649,2,payment,velatura,,,Unknown,Britons
649,2,payment,vectura,,,...nus,Britons
649,2,payment,unknown,,,Unknown,...nus
650,2,debt,denarii,,,"Ascanius, comes Augusti",surveyor
655,3,reciprocity,denarii,,,Unknown,Unknown
661,3,reciprocity,gift,,,Unknown,Unknown
672,4,account,membranum (skin/parchment),,,Unknown,Unknown
672,4,account,bucculam (helmet cheek-piece),,,Unknown,Unknown
675,3,account,radish,,,Unknown,Unknown
677,3,account,"dog, puppy",,,Unknown,Unknown
678,3,account,unknown,0.25 modius,0.75 denarius,Unknown,Unknown
678,3,account,unknown,2 pondii,,Unknown,Unknown
678,3,account,unknown,0.5 pondius,0.5 denarius,Unknown,Unknown
678,3,account,unknown,0.03 modius,0.5 denarius,Unknown,Unknown
679,3,account,chicken,1,,Unknown,Unknown
679,3,account,olives,,,Unknown,Unknown
684,3,account,"timber, beans",,,Unknown,for a granary
